% Model:              spin_coat_stillwagon.mph
% Version:            COMSOL 6.4.0.293
% Date:               Jan 13 2026, 11:14
% Dimension:          1
% Nodes:              101
% Expressions:        1
% Description:        Point graph
% Time (s)                Dependent variable hh
0                         4.740663256304281E-5
1                         2.0606439013973856E-6
2                         1.4613044310966386E-6
3                         1.1907145722255289E-6
4                         1.0328249463571338E-6
5                         9.244145665223099E-7
6                         8.438285730955277E-7
7                         7.812868973609168E-7
8                         7.308760516857559E-7
9                         6.890127674380514E-7
10                        6.535769114338085E-7
11                        6.231254250770867E-7
12                        5.966174308209263E-7
13                        5.73232404649075E-7
14                        5.523823707097582E-7
15                        5.338150775768961E-7
16                        5.168775303426176E-7
17                        5.01435996362046E-7
18                        4.873007096391998E-7
19                        4.7430292269429106E-7
20                        4.622941640984708E-7
21                        4.5115333407516786E-7
22                        4.4078098171456967E-7
23                        4.3109263659438823E-7
24                        4.220163679173225E-7
25                        4.134900409766004E-7
26                        4.0545952012917743E-7
27                        3.978796457824079E-7
28                        3.9070803970920434E-7
29                        3.83910628792978E-7
30                        3.77457791943309E-7
31                        3.7131952128474577E-7
32                        3.654702106193346E-7
33                        3.5988606158240247E-7
34                        3.545505045771155E-7
35                        3.4944717204882315E-7
36                        3.445679170461413E-7
37                        3.39879637084123E-7
38                        3.3537561951671383E-7
39                        3.310444501928452E-7
40                        3.268774488269147E-7
41                        3.228644126934381E-7
42                        3.190028604713233E-7
43                        3.1527233285425023E-7
44                        3.1166858829095047E-7
45                        3.081852605663712E-7
46                        3.0481594761332964E-7
47                        3.015552346598727E-7
48                        2.983977011613096E-7
49                        2.953375518376939E-7
50                        2.9236961163716225E-7
51                        2.8948937954859185E-7
52                        2.866926284829864E-7
53                        2.8397540004893846E-7
54                        2.8133393402176326E-7
55                        2.7876471138527614E-7
56                        2.76264631330422E-7
57                        2.7383062358844003E-7
58                        2.714598462778773E-7
59                        2.6914932729333714E-7
60                        2.6689666966331185E-7
61                        2.646996461834215E-7
62                        2.625558648779246E-7
63                        2.6046324856572644E-7
64                        2.5841993507367073E-7
65                        2.5642414184045674E-7
66                        2.5447423801843196E-7
67                        2.5256813907683083E-7
68                        2.5070408453745806E-7
69                        2.4888044496381773E-7
70                        2.47096043993658E-7
71                        2.4534948202368197E-7
72                        2.436394806276521E-7
73                        2.4196476761891084E-7
74                        2.403241363364331E-7
75                        2.387164431190625E-7
76                        2.371405991537416E-7
77                        2.3559577500399913E-7
78                        2.3408087518824472E-7
79                        2.3259483978312627E-7
80                        2.3113668923245837E-7
81                        2.297054636665874E-7
82                        2.2830045882550202E-7
83                        2.2692091430412475E-7
84                        2.2556608046470188E-7
85                        2.242352315916817E-7
86                        2.2292779356050644E-7
87                        2.2164304620741415E-7
88                        2.2038028667302022E-7
89                        2.1913886915443532E-7
90                        2.179181931780536E-7
91                        2.1671768694536703E-7
92                        2.1553680368347534E-7
93                        2.1437501609741193E-7
94                        2.1323181518145532E-7
95                        2.1210659627363479E-7
96                        2.1099892486373777E-7
97                        2.0990845328612496E-7
98                        2.0883472647904223E-7
99                        2.077773153320204E-7
100                       2.0673580909017354E-7
