% Model:              spin_coat_stillwagon.mph
% Version:            COMSOL 6.4.0.293
% Date:               Jan 12 2026, 17:03
% Dimension:          1
% Nodes:              61
% Expressions:        1
% Description:        Point graph
% Time (s)                Dependent variable hh
0                         4.740663256304281E-5
1                         2.0787109540731907E-6
2                         1.4668534904181312E-6
3                         1.2071467248094494E-6
4                         1.040166475149134E-6
5                         9.231309919806019E-7
6                         8.392482362235834E-7
7                         7.755507393972422E-7
8                         7.25002944362338E-7
9                         6.838749478959299E-7
10                        6.493945714980023E-7
11                        6.200347308672356E-7
12                        5.944449750263969E-7
13                        5.717439332779959E-7
14                        5.513161482625337E-7
15                        5.327494213935685E-7
16                        5.159765567264457E-7
17                        5.006412753663563E-7
18                        4.866141353009476E-7
19                        4.736181858124834E-7
20                        4.6160304421908024E-7
21                        4.513090850830417E-7
22                        4.413443619162657E-7
23                        4.3218490943217364E-7
24                        4.234834370439137E-7
25                        4.1519899630446633E-7
26                        4.08017240756234E-7
27                        4.010719828069334E-7
28                        3.941267248576329E-7
29                        3.876137683011769E-7
30                        3.8168951691261846E-7
31                        3.757652655240601E-7
32                        3.698596975383988E-7
33                        3.6473345320385054E-7
34                        3.596072088693023E-7
35                        3.5448096453475407E-7
36                        3.497518290288577E-7
37                        3.4526257106764894E-7
38                        3.407733131064401E-7
39                        3.363996890123964E-7
40                        3.3242798544453847E-7
41                        3.2845628187668056E-7
42                        3.2448457830882264E-7
43                        3.208644296903539E-7
44                        3.173196662720315E-7
45                        3.1377490285370913E-7
46                        3.1038123878404434E-7
47                        3.0719331757722495E-7
48                        3.0400539637040556E-7
49                        3.0082454690226526E-7
50                        2.9793831924440143E-7
51                        2.950520915865375E-7
52                        2.9216586392867367E-7
53                        2.894402731474307E-7
54                        2.868117052813848E-7
55                        2.8418313741533894E-7
56                        2.8160418418109603E-7
57                        2.791976542366652E-7
58                        2.7679112429223434E-7
59                        2.743845943478035E-7
59.28685311849928         2.736948576891888E-7
